2014-03-31 | 04:00:26 | (Log)     | 	 CRC: 784379109
2014-03-31 | 04:00:26 | (Log)     | readSensors() - finished.
2014-03-31 | 04:00:26 | (Log)     | saveData() - saving binary file.
2014-03-31 | 04:00:27 | (Log)     | saveData() - binary file saved.
2014-03-31 | 04:00:30 | (Log)     | readSensors() - initializing readings.
2014-03-31 | 04:00:30 | (Log)     | 	 Time: 1396238430
2014-03-31 | 04:00:30 | (Log)     | 	 Anemometer: 100.000000
2014-03-31 | 04:00:31 | (Log)     | 	 Pluviometer: 2.286000
2014-03-31 | 04:00:31 | (Log)     | 	 Wetting: 218.429260
2014-03-31 | 04:00:31 | (Log)     | 	 Temperature: 26.000000
2014-03-31 | 04:00:31 | (Log)     | 	 Humidity: 68.500000
2014-03-31 | 04:00:31 | (Log)     | 	 Soil temperature: 28.926859
2014-03-31 | 04:00:31 | (Log)     | 	 Soil humidity: 3.243235
2014-03-31 | 04:00:31 | (Log)     | 	 Solar radiation: inf
2014-03-31 | 04:00:31 | (Log)     | 	 Battery voltage: 8.601990
2014-03-31 | 04:00:31 | (Log)     | 	 CRC: 784372407
2014-03-31 | 04:00:31 | (Log)     | readSensors() - finished.
2014-03-31 | 04:00:31 | (Log)     | saveData() - saving binary file.
2014-03-31 | 04:00:32 | (Log)     | saveData() - binary file saved.
2014-03-31 | 04:00:35 | (Log)     | readSensors() - initializing readings.
2014-03-31 | 04:00:35 | (Log)     | 	 Time: 1396238435
2014-03-31 | 04:00:35 | (Log)     | 	 Anemometer: 100.000000
2014-03-31 | 04:00:36 | (Log)     | 	 Pluviometer: 2.286000
2014-03-31 | 04:00:36 | (Log)     | 	 Wetting: 218.429260
2014-03-31 | 04:00:36 | (Log)     | 	 Temperature: 26.000000
2014-03-31 | 04:00:36 | (Log)     | 	 Humidity: 68.500000
2014-03-31 | 04:00:36 | (Log)     | 	 Soil temperature: 28.926859
2014-03-31 | 04:00:36 | (Log)     | 	 Soil humidity: 3.239657
2014-03-31 | 04:00:36 | (Log)     | 	 Solar radiation: inf
2014-03-31 | 04:00:36 | (Log)     | 	 Battery voltage: 8.598305
2014-03-31 | 04:00:36 | (Log)     | 	 CRC: 784361029
2014-03-31 | 04:00:36 | (Log)     | readSensors() - finished.
2014-03-31 | 04:00:36 | (Log)     | saveData() - saving binary file.
2014-03-31 | 04:00:37 | (Log)     | saveData() - binary file saved.
2014-03-31 | 04:00:40 | (Log)     | readSensors() - initializing readings.
2014-03-31 | 04:00:40 | (Log)     | 	 Time: 1396238440
2014-03-31 | 04:00:40 | (Log)     | 	 Anemometer: 100.000000
2014-03-31 | 04:00:41 | (Log)     | 	 Pluviometer: 2.286000
2014-03-31 | 04:00:41 | (Log)     | 	 Wetting: 218.677078
2014-03-31 | 04:00:41 | (Log)     | 	 Temperature: 26.000000
2014-03-31 | 04:00:41 | (Log)     | 	 Humidity: 68.500000
2014-03-31 | 04:00:41 | (Log)     | 	 Soil temperature: 28.901716
2014-03-31 | 04:00:41 | (Log)     | 	 Soil humidity: 3.236079
2014-03-31 | 04:00:41 | (Log)     | 	 Solar radiation: inf
2014-03-31 | 04:00:41 | (Log)     | 	 Battery voltage: 8.498839
2014-03-31 | 04:00:41 | (Log)     | 	 CRC: 785309322
2014-03-31 | 04:00:41 | (Log)     | readSensors() - finished.
2014-03-31 | 04:00:41 | (Log)     | saveData() - saving binary file.
2014-03-31 | 04:00:42 | (Log)     | saveData() - binary file saved.
2014-03-31 | 04:00:45 | (Log)     | readSensors() - initializing readings.
2014-03-31 | 04:00:45 | (Log)     | 	 Time: 1396238445
2014-03-31 | 04:00:45 | (Log)     | 	 Anemometer: 100.000000
2014-03-31 | 04:00:46 | (Log)     | 	 Pluviometer: 2.540000
2014-03-31 | 04:00:46 | (Log)     | 	 Wetting: 218.181824
2014-03-31 | 04:00:46 | (Log)     | 	 Temperature: 26.000000
2014-03-31 | 04:00:46 | (Log)     | 	 Humidity: 68.500000
2014-03-31 | 04:00:46 | (Log)     | 	 Soil temperature: 28.926859
2014-03-31 | 04:00:46 | (Log)     | 	 Soil humidity: 3.239657
2014-03-31 | 04:00:46 | (Log)     | 	 Solar radiation: inf
2014-03-31 | 04:00:46 | (Log)     | 	 Battery voltage: 8.572517
2014-03-31 | 04:00:46 | (Log)     | 	 CRC: 787504140
2014-03-31 | 04:00:46 | (Log)     | readSensors() - finished.
2014-03-31 | 04:00:46 | (Log)     | saveData() - saving binary file.
2014-03-31 | 04:00:47 | (Log)     | saveData() - binary file saved.
2014-03-31 | 04:00:50 | (Log)     | readSensors() - initializing readings.
2014-03-31 | 04:00:50 | (Log)     | 	 Time: 1396238450
2014-03-31 | 04:00:50 | (Log)     | 	 Anemometer: 100.000000
2014-03-31 | 04:00:51 | (Log)     | 	 Pluviometer: 2.286000
2014-03-31 | 04:00:51 | (Log)     | 	 Wetting: 218.181824
2014-03-31 | 04:00:51 | (Log)     | 	 Temperature: 26.000000
2014-03-31 | 04:00:51 | (Log)     | 	 Humidity: 68.500000
2014-03-31 | 04:00:51 | (Log)     | 	 Soil temperature: 28.926859
2014-03-31 | 04:00:51 | (Log)     | 	 Soil humidity: 3.239657
2014-03-31 | 04:00:51 | (Log)     | 	 Solar radiation: inf
