2014-03-31 | 04:04:00 | (Log)     | set state: 2.
2014-03-31 | 04:04:00 | (Log)     | readSensors() iniciada
2014-03-31 | 04:04:00 | (Log)     | readSensors() concluida
2014-03-31 | 04:04:00 | (Log)     | set state: 3.
2014-03-31 | 04:04:01 | (Log)     | set state: 4.
2014-03-31 | 04:04:02 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:04:15 | (Log)     | set state: 2.
2014-03-31 | 04:04:15 | (Log)     | readSensors() iniciada
2014-03-31 | 04:04:16 | (Log)     | readSensors() concluida
2014-03-31 | 04:04:16 | (Log)     | set state: 3.
2014-03-31 | 04:04:16 | (Log)     | set state: 4.
2014-03-31 | 04:04:17 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:04:30 | (Log)     | set state: 2.
2014-03-31 | 04:04:30 | (Log)     | readSensors() iniciada
2014-03-31 | 04:04:31 | (Log)     | readSensors() concluida
2014-03-31 | 04:04:31 | (Log)     | set state: 3.
2014-03-31 | 04:04:31 | (Log)     | set state: 4.
2014-03-31 | 04:04:32 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:04:45 | (Log)     | set state: 2.
2014-03-31 | 04:04:45 | (Log)     | readSensors() iniciada
2014-03-31 | 04:04:45 | (Log)     | readSensors() concluida
2014-03-31 | 04:04:45 | (Log)     | set state: 3.
2014-03-31 | 04:04:46 | (Log)     | set state: 4.
2014-03-31 | 04:04:47 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:05:00 | (Log)     | set state: 2.
2014-03-31 | 04:05:00 | (Log)     | readSensors() iniciada
2014-03-31 | 04:05:00 | (Log)     | readSensors() concluida
2014-03-31 | 04:05:01 | (Log)     | set state: 3.
2014-03-31 | 04:05:01 | (Log)     | set state: 4.
2014-03-31 | 04:05:02 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:05:15 | (Log)     | set state: 2.
2014-03-31 | 04:05:15 | (Log)     | readSensors() iniciada
2014-03-31 | 04:05:15 | (Log)     | readSensors() concluida
2014-03-31 | 04:05:16 | (Log)     | set state: 3.
2014-03-31 | 04:05:16 | (Log)     | set state: 4.
2014-03-31 | 04:05:17 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:05:30 | (Log)     | set state: 2.
2014-03-31 | 04:05:30 | (Log)     | readSensors() iniciada
2014-03-31 | 04:05:30 | (Log)     | readSensors() concluida
2014-03-31 | 04:05:30 | (Log)     | set state: 3.
2014-03-31 | 04:05:31 | (Log)     | set state: 4.
2014-03-31 | 04:05:32 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:05:45 | (Log)     | set state: 2.
2014-03-31 | 04:05:45 | (Log)     | readSensors() iniciada
2014-03-31 | 04:05:45 | (Log)     | readSensors() concluida
2014-03-31 | 04:05:45 | (Log)     | set state: 3.
2014-03-31 | 04:05:46 | (Log)     | set state: 4.
2014-03-31 | 04:05:47 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:06:00 | (Log)     | set state: 2.
2014-03-31 | 04:06:00 | (Log)     | readSensors() iniciada
2014-03-31 | 04:06:00 | (Log)     | readSensors() concluida
2014-03-31 | 04:06:01 | (Log)     | set state: 3.
2014-03-31 | 04:06:01 | (Log)     | set state: 4.
2014-03-31 | 04:06:02 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:06:15 | (Log)     | set state: 2.
2014-03-31 | 04:06:15 | (Log)     | readSensors() iniciada
2014-03-31 | 04:06:15 | (Log)     | readSensors() concluida
2014-03-31 | 04:06:16 | (Log)     | set state: 3.
2014-03-31 | 04:06:16 | (Log)     | set state: 4.
2014-03-31 | 04:06:17 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:06:30 | (Log)     | set state: 2.
2014-03-31 | 04:06:30 | (Log)     | readSensors() iniciada
2014-03-31 | 04:06:30 | (Log)     | readSensors() concluida
2014-03-31 | 04:06:31 | (Log)     | set state: 3.
2014-03-31 | 04:06:31 | (Log)     | set state: 4.
2014-03-31 | 04:06:32 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:06:45 | (Log)     | set state: 2.
2014-03-31 | 04:06:45 | (Log)     | readSensors() iniciada
2014-03-31 | 04:06:46 | (Log)     | readSensors() concluida
2014-03-31 | 04:06:46 | (Log)     | set state: 3.
2014-03-31 | 04:06:46 | (Log)     | set state: 4.
2014-03-31 | 04:06:47 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:07:00 | (Log)     | set state: 2.
2014-03-31 | 04:07:00 | (Log)     | readSensors() iniciada
2014-03-31 | 04:07:01 | (Log)     | readSensors() concluida
2014-03-31 | 04:07:01 | (Log)     | set state: 3.
2014-03-31 | 04:07:01 | (Log)     | set state: 4.
2014-03-31 | 04:07:02 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:07:15 | (Log)     | set state: 2.
2014-03-31 | 04:07:15 | (Log)     | readSensors() iniciada
2014-03-31 | 04:07:15 | (Log)     | readSensors() concluida
2014-03-31 | 04:07:15 | (Log)     | set state: 3.
2014-03-31 | 04:07:16 | (Log)     | set state: 4.
2014-03-31 | 04:07:17 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:07:30 | (Log)     | set state: 2.
2014-03-31 | 04:07:30 | (Log)     | readSensors() iniciada
2014-03-31 | 04:07:30 | (Log)     | readSensors() concluida
2014-03-31 | 04:07:30 | (Log)     | set state: 3.
2014-03-31 | 04:07:31 | (Log)     | set state: 4.
2014-03-31 | 04:07:32 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:07:45 | (Log)     | set state: 2.
2014-03-31 | 04:07:45 | (Log)     | readSensors() iniciada
2014-03-31 | 04:07:45 | (Log)     | readSensors() concluida
2014-03-31 | 04:07:45 | (Log)     | set state: 3.
2014-03-31 | 04:07:46 | (Log)     | set state: 4.
2014-03-31 | 04:07:47 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:08:00 | (Log)     | set state: 2.
2014-03-31 | 04:08:00 | (Log)     | readSensors() iniciada
2014-03-31 | 04:08:00 | (Log)     | readSensors() concluida
2014-03-31 | 04:08:01 | (Log)     | set state: 3.
2014-03-31 | 04:08:01 | (Log)     | set state: 4.
2014-03-31 | 04:08:02 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:08:15 | (Log)     | set state: 2.
2014-03-31 | 04:08:15 | (Log)     | readSensors() iniciada
2014-03-31 | 04:08:15 | (Log)     | readSensors() concluida
2014-03-31 | 04:08:16 | (Log)     | set state: 3.
2014-03-31 | 04:08:16 | (Log)     | set state: 4.
2014-03-31 | 04:08:17 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:08:30 | (Log)     | set state: 2.
2014-03-31 | 04:08:30 | (Log)     | readSensors() iniciada
2014-03-31 | 04:08:31 | (Log)     | readSensors() concluida
2014-03-31 | 04:08:31 | (Log)     | set state: 3.
2014-03-31 | 04:08:31 | (Log)     | set state: 4.
2014-03-31 | 04:08:32 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:08:45 | (Log)     | set state: 2.
2014-03-31 | 04:08:45 | (Log)     | readSensors() iniciada
2014-03-31 | 04:08:45 | (Log)     | readSensors() concluida
2014-03-31 | 04:08:45 | (Log)     | set state: 3.
2014-03-31 | 04:08:46 | (Log)     | set state: 4.
2014-03-31 | 04:08:47 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:09:00 | (Log)     | set state: 2.
2014-03-31 | 04:09:00 | (Log)     | readSensors() iniciada
2014-03-31 | 04:09:00 | (Log)     | readSensors() concluida
2014-03-31 | 04:09:01 | (Log)     | set state: 3.
2014-03-31 | 04:09:01 | (Log)     | set state: 4.
2014-03-31 | 04:09:02 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:09:15 | (Log)     | set state: 2.
2014-03-31 | 04:09:15 | (Log)     | readSensors() iniciada
2014-03-31 | 04:09:15 | (Log)     | readSensors() concluida
2014-03-31 | 04:09:16 | (Log)     | set state: 3.
2014-03-31 | 04:09:16 | (Log)     | set state: 4.
2014-03-31 | 04:09:17 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:09:30 | (Log)     | set state: 2.
2014-03-31 | 04:09:30 | (Log)     | readSensors() iniciada
2014-03-31 | 04:09:30 | (Log)     | readSensors() concluida
2014-03-31 | 04:09:30 | (Log)     | set state: 3.
2014-03-31 | 04:09:31 | (Log)     | set state: 4.
2014-03-31 | 04:09:32 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:09:45 | (Log)     | set state: 2.
2014-03-31 | 04:09:45 | (Log)     | readSensors() iniciada
2014-03-31 | 04:09:45 | (Log)     | readSensors() concluida
2014-03-31 | 04:09:45 | (Log)     | set state: 3.
2014-03-31 | 04:09:46 | (Log)     | set state: 4.
2014-03-31 | 04:09:47 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:10:00 | (Log)     | set state: 2.
2014-03-31 | 04:10:00 | (Log)     | readSensors() iniciada
2014-03-31 | 04:10:00 | (Log)     | readSensors() concluida
2014-03-31 | 04:10:00 | (Log)     | set state: 3.
2014-03-31 | 04:10:01 | (Log)     | set state: 4.
2014-03-31 | 04:10:02 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:10:15 | (Log)     | set state: 2.
2014-03-31 | 04:10:15 | (Log)     | readSensors() iniciada
2014-03-31 | 04:10:15 | (Log)     | readSensors() concluida
2014-03-31 | 04:10:16 | (Log)     | set state: 3.
2014-03-31 | 04:10:16 | (Log)     | set state: 4.
2014-03-31 | 04:10:17 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:10:30 | (Log)     | set state: 2.
2014-03-31 | 04:10:30 | (Log)     | readSensors() iniciada
2014-03-31 | 04:10:30 | (Log)     | readSensors() concluida
2014-03-31 | 04:10:31 | (Log)     | set state: 3.
2014-03-31 | 04:10:31 | (Log)     | set state: 4.
2014-03-31 | 04:10:32 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:10:45 | (Log)     | set state: 2.
2014-03-31 | 04:10:45 | (Log)     | readSensors() iniciada
2014-03-31 | 04:10:45 | (Log)     | readSensors() concluida
2014-03-31 | 04:10:46 | (Log)     | set state: 3.
2014-03-31 | 04:10:46 | (Log)     | set state: 4.
2014-03-31 | 04:10:47 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:11:00 | (Log)     | set state: 2.
2014-03-31 | 04:11:00 | (Log)     | readSensors() iniciada
2014-03-31 | 04:11:01 | (Log)     | readSensors() concluida
2014-03-31 | 04:11:01 | (Log)     | set state: 3.
2014-03-31 | 04:11:01 | (Log)     | set state: 4.
2014-03-31 | 04:11:02 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:11:15 | (Log)     | set state: 2.
2014-03-31 | 04:11:15 | (Log)     | readSensors() iniciada
2014-03-31 | 04:11:15 | (Log)     | readSensors() concluida
2014-03-31 | 04:11:15 | (Log)     | set state: 3.
2014-03-31 | 04:11:16 | (Log)     | set state: 4.
2014-03-31 | 04:11:17 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:11:30 | (Log)     | set state: 2.
2014-03-31 | 04:11:30 | (Log)     | readSensors() iniciada
2014-03-31 | 04:11:30 | (Log)     | readSensors() concluida
2014-03-31 | 04:11:30 | (Log)     | set state: 3.
2014-03-31 | 04:11:31 | (Log)     | set state: 4.
2014-03-31 | 04:11:32 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:11:45 | (Log)     | set state: 2.
2014-03-31 | 04:11:45 | (Log)     | readSensors() iniciada
2014-03-31 | 04:11:45 | (Log)     | readSensors() concluida
2014-03-31 | 04:11:45 | (Log)     | set state: 3.
2014-03-31 | 04:11:46 | (Log)     | set state: 4.
***** Inserting faults *****
2014-03-31 | 04:11:48 | (Log)     | set state: 1.
2014-03-31 | 04:12:00 | (Log)     | set state: 2.
2014-03-31 | 04:12:00 | (Log)     | readSensors() iniciada
2014-03-31 | 04:12:00 | (Log)     | readSensors() concluida
2014-03-31 | 04:12:01 | (Log)     | set state: 3.
2014-03-31 | 04:12:01 | (Log)     | set state: 4.
2014-03-31 | 04:12:02 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:12:15 | (Log)     | set state: 2.
2014-03-31 | 04:12:15 | (Log)     | readSensors() iniciada
2014-03-31 | 04:12:15 | (Log)     | readSensors() concluida
2014-03-31 | 04:12:16 | (Log)     | set state: 3.
2014-03-31 | 04:12:16 | (Log)     | set state: 4.
