2014-03-31 | 04:00:15 | (Log)     | set state: 4.
2014-03-31 | 04:00:16 | (Log)     | set state: 1.
2014-03-31 | 04:00:28 | (Log)     | Inserting 100 faults:
2014-03-31 | 04:00:33 | (Log)     | Reset by watchdog.
2014-03-31 | 04:00:35 | (Log)     | goToState() - restore from state 0.
2014-03-31 | 04:00:36 | (Log)     | set state: 0.
2014-03-31 | 04:00:36 | (Log)     | config() - initializing configuration.
2014-03-31 | 04:00:00 | (Log)     | config() - successfully configured.
2014-03-31 | 04:00:00 | (Log)     | set state: 1.
2014-03-31 | 04:00:00 | (Log)     | set state: 2.
2014-03-31 | 04:00:00 | (Log)     | readSensors() iniciada
2014-03-31 | 04:00:00 | (Log)     | readSensors() concluida
2014-03-31 | 04:00:00 | (Log)     | set state: 3.
2014-03-31 | 04:00:01 | (Log)     | set state: 4.
2014-03-31 | 04:00:01 | (Log)     | set state: 1.
2014-03-31 | 04:00:11 | (Log)     | Inserting 100 faults:
2014-03-31 | 04:00:15 | (Log)     | set state: 2.
2014-03-31 | 04:00:15 | (Log)     | readSensors() iniciada
2014-03-31 | 04:00:15 | (Log)     | readSensors() concluida
2014-03-31 | 04:00:15 | (Log)     | set state: 3.
2014-03-31 | 04:00:16 | (Log)     | set state: 4.
2014-03-31 | 04:00:16 | (Log)     | set state: 1.
2014-03-31 | 04:00:20 | (Log)     | Inserting 100 faults:
2014-03-31 | 04:00:30 | (Log)     | set state: 2.
2014-03-31 | 04:00:30 | (Log)     | readSensors() iniciada
2014-03-31 | 04:00:30 | (Log)     | readSensors() concluida
2014-03-31 | 04:00:30 | (Log)     | set state: 3.
2014-03-31 | 04:00:31 | (Log)     | set state: 4.
2014-03-31 | 04:00:31 | (Log)     | set state: 1.
2014-03-31 | 04:00:37 | (Log)     | Inserting 100 faults:
2014-03-31 | 04:00:45 | (Log)     | set state: 2.
2014-03-31 | 04:00:45 | (Log)     | readSensors() iniciada
2014-03-31 | 04:00:45 | (Log)     | readSensors() concluida
2014-03-31 | 04:00:45 | (Log)     | set state: 3.
2014-03-31 | 04:00:46 | (Log)     | set state: 4.
2014-03-31 | 04:00:47 | (Log)     | set state: 1.
2014-03-31 | 04:00:49 | (Log)     | Inserting 100 faults:
2014-03-31 | 04:01:00 | (Log)     | set state: 2.
2014-03-31 | 04:01:00 | (Log)     | readSensors() iniciada
2014-03-31 | 04:01:00 | (Log)     | readSensors() concluida
2014-03-31 | 04:01:00 | (Log)     | set state: 3.
2014-03-31 | 04:01:01 | (Log)     | set state: 4.
2014-03-31 | 04:01:01 | (Log)     | set state: 1.
2014-03-31 | 04:01:12 | (Log)     | Inserting 100 faults:
2014-03-31 | 04:01:15 | (Log)     | set state: 2.
2014-03-31 | 04:01:15 | (Log)     | readSensors() iniciada
2014-03-31 | 04:01:15 | (Log)     | readSensors() concluida
2014-03-31 | 04:01:15 | (Log)     | set state: 3.
2014-03-31 | 04:01:16 | (Log)     | set state: 4.
2014-03-31 | 04:01:16 | (Log)     | set state: 1.
2014-03-31 | 04:01:17 | (Log)     | Inserting 100 faults:
2014-03-31 | 04:01:30 | (Log)     | set state: 2.
2014-03-31 | 04:01:30 | (Log)     | readSensors() iniciada
2014-03-31 | 04:01:30 | (Log)     | readSensors() concluida
2014-03-31 | 04:01:30 | (Log)     | set state: 3.
2014-03-31 | 04:01:31 | (Log)     | set state: 4.
2014-03-31 | 04:01:32 | (Log)     | set state: 1.
2014-03-31 | 04:01:35 | (Log)     | Inserting 100 faults:
2014-03-31 | 04:01:40 | (Log)     | Reset by watchdog.
2014-03-31 | 04:01:42 | (Log)     | goToState() - restore from state 0.
2014-03-31 | 04:01:42 | (Log)     | set state: 0.
2014-03-31 | 04:01:42 | (Log)     | config() - initializing configuration.
2014-03-31 | 04:00:00 | (Log)     | config() - successfully configured.
2014-03-31 | 04:00:00 | (Log)     | set state: 1.
2014-03-31 | 04:00:00 | (Log)     | set state: 2.
2014-03-31 | 04:00:00 | (Log)     | readSensors() iniciada
2014-03-31 | 04:00:00 | (Log)     | readSensors() concluida
2014-03-31 | 04:00:00 | (Log)     | set state: 3.
2014-03-31 | 04:00:01 | (Log)     | set state: 4.
2014-03-31 | 04:00:02 | (Log)     | set state: 1.
2014-03-31 | 04:00:15 | (Log)     | Inserting 100 faults:
2014-03-31 | 04:00:15 | (Log)     | set state: 2.
2014-03-31 | 04:00:15 | (Log)     | readSensors() iniciada
2014-03-31 | 04:00:16 | (Log)     | readSensors() concluida
