28/10/2009 11:36:46 - Log	: Reset by power-button.
28/10/2009 11:41:15 - Log	: readSensors() iniciada
28/10/2009 11:41:19 - Log	: readSensors() concluida
28/10/2009 11:41:20 - Log	: set state: 3.
28/10/2009 11:41:20 - Log	: set state: 4.
28/10/2009 11:41:21 - Log	: set state: 1.
28/10/2009 11:41:30 - Log	: set state: 2.
28/10/2009 11:41:30 - Log	: readSensors() iniciada
28/10/2009 11:41:35 - Log	: readSensors() concluida
28/10/2009 11:41:35 - Log	: set state: 3.
28/10/2009 11:41:36 - Log	: set state: 4.
28/10/2009 11:41:36 - Log	: set state: 1.
28/10/2009 11:41:45 - Log	: set state: 2.
28/10/2009 11:41:45 - Log	: readSensors() iniciada
28/10/2009 11:41:49 - Log	: readSensors() concluida
28/10/2009 11:41:50 - Log	: set state: 3.
28/10/2009 11:41:50 - Log	: set state: 4.
28/10/2009 11:41:51 - Log	: set state: 1.
28/10/2009 11:42:00 - Log	: set state: 2.
28/10/2009 11:42:00 - Log	: readSensors() iniciada
28/10/2009 11:42:05 - Log	: readSensors() concluida
28/10/2009 11:42:05 - Log	: set state: 3.
28/10/2009 11:42:05 - Log	: set state: 4.
28/10/2009 11:42:06 - Log	: set state: 1.
28/10/2009 11:42:15 - Log	: set state: 2.
28/10/2009 11:42:15 - Log	: readSensors() iniciada
28/10/2009 11:42:19 - Log	: readSensors() concluida
28/10/2009 11:42:19 - Log	: set state: 3.
28/10/2009 11:42:20 - Log	: set state: 4.
28/10/2009 11:42:21 - Log	: set state: 1.
28/10/2009 11:42:30 - Log	: set state: 2.
28/10/2009 11:42:30 - Log	: readSensors() iniciada
28/10/2009 11:42:35 - Log	: readSensors() concluida
28/10/2009 11:42:35 - Log	: set state: 3.
28/10/2009 11:42:35 - Log	: set state: 4.
28/10/2009 11:42:36 - Log	: set state: 1.
28/10/2009 11:42:46 - Log	: set state: 2.
28/10/2009 11:42:46 - Log	: readSensors() iniciada
28/10/2009 11:42:50 - Log	: readSensors() concluida
28/10/2009 11:42:50 - Log	: set state: 3.
28/10/2009 11:42:51 - Log	: set state: 4.
28/10/2009 11:42:51 - Log	: set state: 1.
28/10/2009 11:43:00 - Log	: set state: 2.
28/10/2009 11:43:00 - Log	: readSensors() iniciada
28/10/2009 11:43:04 - Log	: readSensors() concluida
28/10/2009 11:43:05 - Log	: set state: 3.
28/10/2009 11:43:05 - Log	: set state: 4.
28/10/2009 11:43:06 - Log	: set state: 1.
28/10/2009 11:43:15 - Log	: set state: 2.
28/10/2009 11:43:15 - Log	: readSensors() iniciada
28/10/2009 11:43:20 - Log	: readSensors() concluida
28/10/2009 11:43:20 - Log	: set state: 3.
28/10/2009 11:43:20 - Log	: set state: 4.
28/10/2009 11:43:21 - Log	: set state: 1.
28/10/2009 11:43:30 - Log	: set state: 2.
28/10/2009 11:43:30 - Log	: readSensors() iniciada
28/10/2009 11:43:34 - Log	: readSensors() concluida
28/10/2009 11:43:35 - Log	: set state: 3.
28/10/2009 11:43:35 - Log	: set state: 4.
28/10/2009 11:43:36 - Log	: set state: 1.
28/10/2009 11:43:45 - Log	: set state: 2.
28/10/2009 11:43:45 - Log	: readSensors() iniciada
28/10/2009 11:43:50 - Log	: readSensors() concluida
28/10/2009 11:43:50 - Log	: set state: 3.
28/10/2009 11:43:50 - Log	: set state: 4.
28/10/2009 11:43:51 - Log	: set state: 1.
28/10/2009 11:44:00 - Log	: set state: 2.
28/10/2009 11:44:00 - Log	: readSensors() iniciada
28/10/2009 11:44:04 - Log	: readSensors() concluida
28/10/2009 11:44:04 - Log	: set state: 3.
28/10/2009 11:44:05 - Log	: set state: 4.
28/10/2009 11:44:06 - Log	: set state: 1.
28/10/2009 11:44:15 - Log	: set state: 2.
28/10/2009 11:44:15 - Log	: readSensors() iniciada
28/10/2009 11:44:20 - Log	: readSensors() concluida
28/10/2009 11:44:20 - Log	: set state: 3.
28/10/2009 11:44:20 - Log	: set state: 4.
28/10/2009 11:44:21 - Log	: set state: 1.
28/10/2009 11:44:30 - Log	: set state: 2.
28/10/2009 11:44:30 - Log	: readSensors() iniciada
28/10/2009 11:44:34 - Log	: readSensors() concluida
28/10/2009 11:44:34 - Log	: set state: 3.
28/10/2009 11:44:35 - Log	: set state: 4.
28/10/2009 11:44:35 - Log	: set state: 1.
28/10/2009 11:44:45 - Log	: set state: 2.
28/10/2009 11:44:45 - Log	: readSensors() iniciada
28/10/2009 11:44:49 - Log	: readSensors() concluida
28/10/2009 11:44:50 - Log	: set state: 3.
28/10/2009 11:44:50 - Log	: set state: 4.
28/10/2009 11:44:51 - Log	: set state: 1.
28/10/2009 11:45:00 - Log	: set state: 2.
28/10/2009 11:45:00 - Log	: readSensors() iniciada
28/10/2009 11:45:05 - Log	: readSensors() concluida
28/10/2009 11:45:05 - Log	: set state: 3.
28/10/2009 11:45:05 - Log	: set state: 4.
28/10/2009 11:45:06 - Log	: set state: 1.
28/10/2009 11:45:15 - Log	: set state: 2.
28/10/2009 11:45:15 - Log	: readSensors() iniciada
28/10/2009 11:45:19 - Log	: readSensors() concluida
28/10/2009 11:45:20 - Log	: set state: 3.
28/10/2009 11:45:20 - Log	: set state: 4.
28/10/2009 11:45:21 - Log	: set state: 1.
28/10/2009 11:45:30 - Log	: set state: 2.
28/10/2009 11:45:30 - Log	: readSensors() iniciada
28/10/2009 11:45:35 - Log	: readSensors() concluida
28/10/2009 11:45:35 - Log	: set state: 3.
28/10/2009 11:45:35 - Log	: set state: 4.
28/10/2009 11:45:36 - Log	: set state: 1.

2014-03-25 | 08:35:00 | Log	  	| set state: 3.
2014-03-25 | 08:35:00 | Warning | set state: 3.
2014-03-25 | 08:35:00 | Log	  	| set state: 3.
2014-03-25 | 08:35:00 | Log	  	| set state: 3.
2014-03-25 | 08:35:00 | Log	  	| set state: 3.
2014-03-25 | 08:35:00 | Log	  	| set state: 3.
2014-03-25 | 08:35:00 | Log	  	| set state: 3.
2014-03-25 | 08:35:00 | Log	  	| set state: 3.
2014-03-25 | 08:35:00 | Warning | set state: 3.
2014-03-25 | 08:35:00 | Warning | set state: 3.
2014-03-25 | 08:35:00 | Log	  	| set state: 3.






LOG:

2014-03-31 | 04:00:30 | (Log)     | Reset by power-button.
2014-03-31 | 04:00:33 | (Log)     | set state: 0.
2014-03-31 | 04:00:33 | (Log)     | config() - initializing configuration.
2014-03-31 | 04:00:00 | (Log)     | config() - successfully configured.
2014-03-31 | 04:00:00 | (Log)     | set state: 1.
2014-03-31 | 04:00:00 | (Log)     | set state: 2.
2014-03-31 | 04:00:00 | (Log)     | readSensors() iniciada
2014-03-31 | 04:00:01 | (Log)     | readSensors() concluida
2014-03-31 | 04:00:01 | (Log)     | set state: 3.
2014-03-31 | 04:00:01 | (Log)     | set state: 4.
2014-03-31 | 04:00:02 | (Log)     | set state: 1.
2014-03-31 | 04:00:11 | (Log)     | Inserting faults:
2014-03-31 | 04:00:15 | (Log)     | set state: 2.
2014-03-31 | 04:00:15 | (Log)     | readSensors() iniciada
2014-03-31 | 04:00:15 | (Log)     | readSensors() concluida
2014-03-31 | 04:00:16 | (Log)     | set state: 3.
2014-03-31 | 04:00:16 | (Log)     | set state: 4.
2014-03-31 | 04:00:17 | (Log)     | set state: 1.
2014-03-31 | 04:00:24 | (Log)     | Inserting faults:
2014-03-31 | 04:00:30 | (Log)     | set state: 2.
2014-03-31 | 04:00:30 | (Log)     | readSensors() iniciada
2014-03-31 | 04:00:30 | (Log)     | readSensors() concluida
2014-03-31 | 04:00:30 | (Log)     | set state: 3.
2014-03-31 | 04:00:31 | (Log)     | set state: 4.
2014-03-31 | 04:00:32 | (Log)     | set state: 1.
2014-03-31 | 04:00:41 | (Log)     | Inserting faults:
2014-03-31 | 04:00:45 | (Log)     | set state: 2.
2014-03-31 | 04:00:45 | (Log)     | readSensors() iniciada
2014-03-31 | 04:00:45 | (Log)     | readSensors() concluida
2014-03-31 | 04:00:45 | (Log)     | set state: 3.
2014-03-31 | 04:00:46 | (Log)     | set state: 4.
2014-03-31 | 04:00:47 | (Log)     | set state: 1.
2014-03-31 | 04:00:49 | (Log)     | Inserting faults:
